website_id,page,clicks,impressions,ctr,position,visibility_label,visibility_score,anomaly_flag,anomaly_score
1,/page2,0,24,0.005,98.54,0,3.0,-1,-0.0222
5,/cabinet/appointments.html,1,28,0.023,35.23,0,0.0,1,0.1578
5,/cabinet/faq.html,1,3,0.458,2.66,1,63.0,1,0.0233
1,/page5,15,129,0.108,1.93,1,100.0,-1,-0.0092
6,/travel_agency,1,74,0.04,17.67,0,2.0,1,0.0907
1,/,1,68,0.025,7.53,1,99.0,1,0.0155
5,/cabinet/about.html,1,1,0.695,4.12,0,0.0,1,0.0565
1,/page4,4,11,0.196,20.97,0,1.0,1,0.1114
3,/,6,10,0.348,14.88,0,1.0,1,0.0696
5,/voyages,4,17,0.121,24.35,0,0.0,1,0.1306
5,/cabinet/appointments.html,1,29,0.021,36.81,0,0.0,1,0.1536
5,/cabinet/about.html,1,2,0.569,3.43,0,0.0,1,0.1427
1,/,15,43,0.249,1.36,1,100.0,1,0.054
4,/,3,17,0.124,16.87,0,2.0,1,0.1485
5,/cabinet/contact.html,0,3,0.0,27.02,0,0.0,1,0.134
5,/cabinet/about.html,5,62,0.082,19.47,0,0.0,1,0.1364
4,/,2,3,0.75,1.0,0,0.0,1,0.086
1,/page3,2,28,0.037,43.66,0,0.0,1,0.1427
3,/,2,60,0.055,17.35,0,0.0,1,0.1454
5,/cabinet/contact.html,0,4,0.0,48.97,0,5.0,1,0.0606
6,/travel_agency,7,82,0.092,14.97,0,0.0,1,0.0924
5,/cabinet/contact.html,0,3,0.0,39.06,0,0.0,1,0.1332
5,/cabinet/appointments.html,4,44,0.086,7.56,1,100.0,1,0.044
4,/,2,3,0.71,1.12,0,0.0,1,0.0955
6,/travel_agency,5,52,0.096,21.62,0,0.0,1,0.1312
5,/cabinet/blog.html,0,3,0.0,3.55,0,0.0,1,0.1266
1,/page5,15,199,0.068,5.23,1,97.0,-1,-0.0423
6,/travel_agency,6,98,0.095,11.66,0,0.0,1,0.0616
5,/voyages,4,72,0.042,13.91,0,0.0,1,0.1214
4,/,2,4,0.726,1.0,0,0.0,1,0.0758
5,/cabinet/faq.html,1,3,0.491,2.43,0,0.0,1,0.1533
3,/,17,35,0.476,1.0,1,99.0,1,0.0165
4,/,2,4,0.681,1.0,0,0.0,1,0.0834
1,/,12,54,0.161,1.17,1,97.0,1,0.0432
3,/,1,47,0.038,17.43,0,0.0,1,0.1512
1,/page4,3,20,0.118,19.33,0,0.0,1,0.1506
5,/cabinet/about.html,1,2,0.446,2.35,0,0.0,1,0.16
1,/,11,50,0.156,1.2,1,99.0,1,0.0533
1,/page5,18,174,0.101,3.02,1,98.0,-1,-0.0449
3,/,3,29,0.065,9.16,1,100.0,1,0.0577
5,/cabinet,2,19,0.089,8.89,1,99.0,1,0.0499
5,/cabinet,5,73,0.056,18.85,0,0.0,1,0.1222
1,/page5,17,180,0.096,2.84,1,99.0,-1,-0.0349
5,/cabinet/faq.html,1,2,0.542,3.43,0,0.0,1,0.1447
6,/travel_agency,6,61,0.063,23.23,0,1.0,1,0.1056
1,/page2,0,20,0.011,43.98,0,0.0,1,0.1204
5,/cabinet/contact.html,0,2,0.0,26.68,0,0.0,1,0.1238
5,/cabinet/blog.html,0,2,0.0,2.46,0,0.0,1,0.1081
1,/page5,16,132,0.097,2.81,1,100.0,-1,-0.0241
3,/,14,21,0.569,1.23,1,100.0,1,0.0169
1,/page5,14,147,0.095,1.99,1,100.0,1,0.0021
1,/,15,28,0.294,2.18,1,98.0,1,0.0289
4,/,2,2,0.838,1.0,0,0.0,1,0.0401
5,/cabinet/blog.html,7,58,0.078,10.36,0,18.0,1,0.0677
1,/,18,36,0.323,1.14,1,99.0,1,0.0139
5,/voyages,4,19,0.11,25.39,0,0.0,1,0.1372
5,/cabinet,1,2,0.523,1.24,0,0.0,1,0.1519
5,/cabinet/contact.html,0,3,0.0,36.5,0,0.0,1,0.1379
3,/,18,39,0.498,1.11,1,100.0,1,0.0029
5,/cabinet,1,2,0.52,1.08,0,0.0,1,0.1495
5,/cabinet/contact.html,0,4,0.0,28.48,0,0.0,1,0.1245
5,/cabinet/about.html,1,3,0.411,3.44,0,4.0,1,0.129
5,/cabinet/about.html,3,16,0.131,9.36,1,95.0,1,0.0272
5,/cabinet/blog.html,0,3,0.0,2.61,0,0.0,1,0.1196
4,/,2,3,0.819,1.0,0,0.0,1,0.0499
5,/cabinet/faq.html,1,2,0.426,2.56,0,1.0,1,0.1519
5,/cabinet/faq.html,1,3,0.488,1.8,0,1.0,1,0.1412
5,/cabinet/about.html,1,2,0.543,3.92,0,0.0,1,0.1307
6,/travel_agency,5,83,0.088,15.26,0,0.0,1,0.1064
6,/travel_agency,4,10,0.24,7.62,1,92.0,-1,-0.0076
3,/,7,65,0.086,28.34,0,0.0,1,0.0881
5,/cabinet/faq.html,6,13,0.274,16.52,0,1.0,1,0.1018
5,/voyages,2,14,0.074,39.78,0,0.0,1,0.1242
5,/cabinet/appointments.html,1,45,0.015,38.72,0,0.0,1,0.12
1,/,15,53,0.195,1.09,1,90.0,1,0.0214
4,/,3,21,0.118,8.81,1,96.0,1,0.0508
5,/voyages,3,18,0.088,29.11,0,0.0,1,0.1418
1,/,15,41,0.229,1.27,1,98.0,1,0.0495
5,/cabinet/faq.html,1,1,0.7,3.0,0,0.0,1,0.0703
1,/page4,6,18,0.174,34.77,0,0.0,1,0.0832
1,/,7,68,0.089,18.45,0,0.0,1,0.1082
5,/cabinet,1,2,0.399,2.09,0,6.0,1,0.1251
1,/page5,12,233,0.076,2.27,1,93.0,-1,-0.0435
5,/cabinet/blog.html,3,66,0.045,15.49,0,0.0,1,0.142
4,/,1,2,0.536,1.29,0,0.0,1,0.1508
3,/,19,20,0.694,1.13,1,99.0,-1,-0.0343
1,/,8,29,0.212,1.15,1,99.0,1,0.0591
5,/cabinet/about.html,1,3,0.465,2.38,0,1.0,1,0.1482
1,/page5,12,236,0.075,3.21,1,91.0,-1,-0.0494
1,/page3,2,22,0.046,79.01,0,0.0,1,0.0286
5,/cabinet/contact.html,3,29,0.066,11.41,0,6.0,1,0.1561
5,/cabinet/contact.html,0,3,0.0,50.32,0,0.0,1,0.1086
1,/page5,6,57,0.074,29.03,0,0.0,1,0.1035
1,/,17,46,0.238,1.1,1,100.0,1,0.0314
6,/travel_agency,1,58,0.023,7.4,1,93.0,1,0.0177
1,/page4,5,32,0.108,12.64,0,0.0,1,0.1448
1,/page3,2,39,0.026,67.97,0,2.0,1,0.0684
5,/voyages,2,18,0.059,19.96,0,0.0,1,0.1585
3,/,12,34,0.52,1.0,1,97.0,1,0.0236
5,/voyages,2,34,0.036,14.08,1,67.0,1,0.0518
1,/page4,9,20,0.237,25.1,0,0.0,1,0.0695
1,/,14,39,0.223,1.0,1,99.0,1,0.0667
5,/cabinet,1,3,0.38,1.16,0,3.0,1,0.1364
1,/page2,0,26,0.011,56.49,0,1.0,1,0.0856
1,/page4,13,17,0.391,15.99,0,0.0,-1,-0.0168
1,/page4,6,23,0.142,20.0,0,0.0,1,0.1351
1,/page3,2,28,0.037,61.09,0,0.0,1,0.1116
1,/page3,3,26,0.059,65.52,0,1.0,1,0.0615
5,/cabinet/faq.html,1,2,0.551,2.0,0,0.0,1,0.1501
5,/cabinet/faq.html,1,3,0.452,2.3,0,12.0,1,0.1009
1,/page2,0,28,0.008,47.96,0,4.0,1,0.0766
1,/page3,5,72,0.055,12.4,0,0.0,1,0.1222
5,/cabinet/appointments.html,1,32,0.021,51.51,0,0.0,1,0.1311
5,/cabinet/faq.html,1,3,0.276,5.07,0,1.0,1,0.1253
5,/cabinet/about.html,1,3,0.384,4.08,0,2.0,1,0.1294
5,/voyages,4,29,0.072,29.04,0,9.0,1,0.1176
1,/page2,2,36,0.055,8.2,1,100.0,1,0.0546
5,/cabinet,1,2,0.367,1.85,0,4.0,1,0.1319
6,/travel_agency,6,111,0.066,15.21,0,0.0,1,0.0582
5,/cabinet,1,3,0.426,1.03,0,19.0,1,0.0748
1,/page2,0,28,0.007,52.44,0,0.0,1,0.092
5,/voyages,4,29,0.073,31.81,0,3.0,1,0.1322
1,/page3,2,24,0.043,75.79,0,2.0,1,0.0523
5,/cabinet/faq.html,1,2,0.428,1.97,0,4.0,1,0.1352
5,/cabinet/blog.html,1,44,0.027,11.52,0,1.0,1,0.1426
1,/page4,8,26,0.164,25.21,0,1.0,1,0.0973
3,/,18,22,0.778,1.05,1,100.0,-1,-0.0374
4,/,1,58,0.05,10.61,0,1.0,1,0.1279
5,/voyages,3,22,0.071,16.9,0,6.0,1,0.1576
5,/cabinet/about.html,1,3,0.289,6.72,0,0.0,1,0.124
5,/cabinet/blog.html,7,46,0.109,13.03,0,0.0,1,0.1222
3,/,13,40,0.374,1.0,1,100.0,1,0.0382
5,/cabinet/faq.html,1,2,0.5,2.5,0,0.0,1,0.1591
3,/,5,37,0.078,11.19,0,1.0,1,0.1542
1,/page5,4,51,0.07,10.67,0,0.0,1,0.1539
1,/page2,0,26,0.011,37.11,0,0.0,1,0.1241
1,/page5,9,146,0.077,3.57,1,99.0,1,0.0019
5,/cabinet/faq.html,5,78,0.058,14.11,0,3.0,1,0.1014
1,/page5,10,197,0.053,3.38,1,98.0,-1,-0.0198
5,/cabinet/about.html,5,24,0.123,9.68,1,96.0,1,0.0482
4,/,7,22,0.19,19.21,0,0.0,1,0.1161
1,/,18,53,0.22,1.05,0,31.0,-1,-0.0576
1,/,17,26,0.376,1.17,1,100.0,1,0.0313
1,/,11,30,0.234,1.04,1,92.0,1,0.0521
3,/,1,42,0.038,14.84,0,0.0,1,0.1476
5,/cabinet,1,3,0.44,1.23,0,6.0,1,0.1264
5,/cabinet/about.html,4,11,0.206,19.94,0,1.0,1,0.1149
5,/voyages,5,70,0.066,17.78,0,3.0,1,0.1284
3,/,5,47,0.103,11.87,0,0.0,1,0.1401
1,/page5,13,179,0.077,2.65,1,100.0,1,0.0088
6,/travel_agency,6,52,0.107,10.85,0,0.0,1,0.1232
5,/cabinet/appointments.html,1,38,0.017,41.06,0,1.0,1,0.1312
5,/cabinet,1,2,0.515,1.26,0,0.0,1,0.1538
5,/cabinet/blog.html,0,2,0.0,4.6,0,16.0,1,0.0555
5,/cabinet/faq.html,1,2,0.555,2.59,0,1.0,1,0.1318
1,/page5,13,138,0.078,1.97,1,100.0,1,0.0153
1,/page2,0,16,0.011,43.44,0,0.0,1,0.1129
5,/cabinet/appointments.html,3,52,0.069,16.24,0,0.0,1,0.1614
5,/cabinet,1,3,0.417,1.08,1,87.0,1,0.004
1,/page3,2,31,0.033,57.1,0,0.0,1,0.1246
6,/travel_agency,7,81,0.094,14.06,0,0.0,1,0.0889
3,/,14,31,0.519,1.11,1,99.0,1,0.033
1,/page3,1,29,0.018,65.99,0,3.0,1,0.0713
5,/cabinet/faq.html,1,3,0.422,1.86,0,8.0,1,0.1159
1,/page3,2,23,0.045,49.18,0,4.0,1,0.108
3,/,21,31,0.65,1.31,0,29.0,-1,-0.0936
1,/,4,60,0.045,15.27,0,0.0,1,0.1445
1,/,16,45,0.235,1.0,1,100.0,1,0.0436
1,/page2,1,72,0.048,15.72,0,0.0,1,0.1045
5,/cabinet/about.html,1,3,0.459,2.85,0,11.0,1,0.1036
5,/voyages,3,19,0.082,32.79,0,0.0,1,0.144
5,/cabinet/blog.html,0,3,0.0,3.69,0,0.0,1,0.1252
5,/cabinet/contact.html,0,3,0.0,29.11,0,0.0,1,0.1343
1,/page2,0,19,0.008,42.27,0,2.0,1,0.1084
4,/,2,68,0.062,13.16,0,4.0,1,0.1174
5,/cabinet/faq.html,1,2,0.505,2.89,0,0.0,1,0.158
5,/cabinet/contact.html,0,3,0.0,40.45,0,0.0,1,0.1324
1,/,8,52,0.149,1.0,1,87.0,1,0.0309
1,/page3,7,38,0.112,28.57,0,1.0,1,0.0973
1,/page4,10,23,0.231,25.03,0,0.0,1,0.057
1,/page3,2,27,0.002,54.65,0,2.0,1,0.0964
1,/,14,32,0.28,1.0,1,100.0,1,0.0598
5,/cabinet/contact.html,0,2,0.0,34.32,0,0.0,1,0.1276
5,/cabinet/about.html,1,2,0.491,2.32,0,0.0,1,0.1624
1,/page2,0,24,0.009,48.92,1,63.0,-1,-0.0387
6,/travel_agency,1,49,0.017,29.25,0,0.0,1,0.1195
1,/page5,9,204,0.053,1.95,1,99.0,-1,-0.0246
3,/,18,28,0.689,1.06,1,100.0,-1,-0.0146
5,/cabinet/faq.html,1,3,0.389,3.13,0,1.0,1,0.1488
5,/cabinet/faq.html,1,3,0.355,2.95,0,1.0,1,0.1444
5,/cabinet/appointments.html,4,46,0.074,14.86,0,0.0,1,0.1577
5,/cabinet/blog.html,0,3,0.0,2.76,0,0.0,1,0.1207
5,/cabinet/about.html,1,2,0.423,5.19,0,2.0,1,0.1181
5,/cabinet/about.html,1,3,0.286,5.18,0,1.0,1,0.1228
6,/travel_agency,4,62,0.069,17.35,0,0.0,1,0.1478
1,/page5,15,175,0.089,2.99,1,100.0,-1,-0.0125
1,/page2,0,24,0.012,42.22,0,7.0,1,0.0749
3,/,7,49,0.109,19.96,0,0.0,1,0.1194
5,/voyages,2,15,0.07,25.79,0,0.0,1,0.1503
5,/cabinet/contact.html,0,3,0.0,37.63,0,0.0,1,0.1373
5,/cabinet/contact.html,1,50,0.037,10.84,0,0.0,1,0.1441
5,/cabinet/faq.html,1,2,0.539,2.82,0,0.0,1,0.1537
5,/cabinet,1,3,0.409,1.3,1,62.0,1,0.0501
5,/cabinet/appointments.html,1,26,0.022,70.04,0,0.0,1,0.0762
5,/cabinet/contact.html,0,5,0.0,47.73,0,0.0,1,0.1003
5,/cabinet,1,3,0.37,1.32,0,0.0,1,0.1487
3,/,15,36,0.505,1.39,1,100.0,1,0.0167
5,/cabinet/contact.html,0,4,0.0,31.55,0,0.0,1,0.1316
3,/,12,28,0.528,1.22,1,96.0,1,0.0232
1,/page5,4,52,0.071,18.8,0,0.0,1,0.1536
5,/cabinet,7,17,0.222,10.05,0,21.0,1,0.0368
5,/cabinet/about.html,1,50,0.058,13.22,0,0.0,1,0.1437
3,/,19,19,0.756,1.2,1,98.0,-1,-0.0596
5,/cabinet/appointments.html,1,27,0.024,40.41,0,1.0,1,0.1423
4,/,3,56,0.058,13.95,0,0.0,1,0.1547
4,/,3,4,0.663,1.1,0,0.0,1,0.0674
5,/voyages,5,16,0.204,14.48,0,3.0,1,0.1221
5,/cabinet/about.html,3,31,0.069,19.07,0,0.0,1,0.1716
1,/,12,34,0.118,1.0,1,99.0,1,0.0627
6,/travel_agency,3,57,0.076,9.86,1,99.0,1,0.0508
1,/page5,16,153,0.081,2.47,1,100.0,-1,-0.0141
1,/page4,9,25,0.189,20.22,0,0.0,1,0.0845
1,/page2,4,70,0.043,7.63,1,98.0,1,0.0327
4,/,2,3,0.685,1.0,0,0.0,1,0.1004
5,/cabinet/about.html,1,2,0.552,2.31,0,0.0,1,0.151
5,/cabinet/contact.html,0,2,0.0,66.32,0,0.0,1,0.0367
5,/cabinet/appointments.html,1,22,0.036,12.88,0,10.0,1,0.1234
5,/cabinet/blog.html,0,3,0.0,4.05,0,0.0,1,0.123
1,/page3,2,19,0.054,61.58,0,0.0,1,0.08
4,/,3,4,0.658,1.0,0,0.0,1,0.0715
1,/page5,7,24,0.181,7.16,1,99.0,1,0.0447
5,/voyages,2,21,0.05,29.21,0,0.0,1,0.1486
5,/voyages,3,78,0.057,13.96,0,2.0,1,0.1032
5,/voyages,4,26,0.081,31.96,0,0.0,1,0.141
5,/cabinet/blog.html,0,3,0.0,4.0,0,0.0,1,0.1231
6,/travel_agency,4,102,0.071,12.13,0,0.0,1,0.0796
1,/,11,25,0.293,1.0,1,94.0,1,0.0505
5,/cabinet/blog.html,7,42,0.114,8.49,1,99.0,1,0.0565
5,/cabinet/about.html,1,1,0.726,2.9,0,0.0,1,0.0652
6,/travel_agency,7,70,0.096,18.39,0,0.0,1,0.1015
5,/cabinet/appointments.html,1,45,0.016,41.45,0,1.0,1,0.1137
4,/,2,2,0.897,1.1,0,0.0,1,0.0083
1,/page5,13,229,0.064,1.96,1,100.0,-1,-0.0307
1,/page5,9,274,0.043,3.72,1,89.0,-1,-0.0845
5,/cabinet/contact.html,0,5,0.0,47.83,0,0.0,1,0.1003
3,/,20,38,0.609,1.26,1,97.0,-1,-0.041
1,/page3,2,24,0.043,73.01,0,6.0,1,0.0441
5,/voyages,2,21,0.051,24.21,0,0.0,1,0.1564
5,/cabinet/contact.html,2,58,0.04,7.0,0,44.0,1,0.0443
5,/cabinet,2,17,0.085,14.82,0,0.0,1,0.1577
5,/cabinet/contact.html,4,27,0.093,18.13,0,0.0,1,0.164
5,/cabinet/faq.html,1,2,0.444,6.66,0,0.0,1,0.122
4,/,2,3,0.619,1.53,0,0.0,1,0.1073
4,/,1,4,0.465,1.24,0,0.0,1,0.1332
1,/page5,10,167,0.06,3.56,1,100.0,-1,-0.0148
5,/cabinet/appointments.html,1,33,0.02,35.46,0,0.0,1,0.1533
5,/cabinet,1,2,0.46,1.0,0,3.0,1,0.1311
1,/page3,1,30,0.018,74.92,0,11.0,1,0.0045
1,/page2,2,62,0.064,16.57,0,5.0,1,0.1243
6,/travel_agency,7,79,0.066,18.7,0,0.0,1,0.0902
5,/voyages,3,60,0.058,14.42,0,2.0,1,0.1481
5,/voyages,3,20,0.079,17.46,0,10.0,1,0.1426
4,/,3,54,0.052,10.73,0,0.0,1,0.1538
4,/,2,4,0.603,1.04,0,1.0,1,0.085
5,/voyages,4,28,0.075,19.71,0,0.0,1,0.1645
1,/,15,40,0.25,1.38,1,100.0,1,0.0529
5,/cabinet,1,3,0.425,1.12,1,65.0,1,0.0383
5,/cabinet/appointments.html,1,22,0.026,69.89,0,1.0,1,0.0674
5,/cabinet/contact.html,0,5,0.0,41.48,0,0.0,1,0.119
5,/voyages,4,29,0.072,16.68,1,72.0,1,0.0404
5,/cabinet/appointments.html,1,29,0.009,44.47,0,12.0,1,0.0693
5,/cabinet/contact.html,0,3,0.0,50.79,0,0.0,1,0.1086
1,/,8,38,0.154,1.0,1,96.0,1,0.0634
1,/page5,6,45,0.116,16.45,0,1.0,1,0.1329
5,/cabinet,1,3,0.354,1.28,0,5.0,1,0.1255
1,/page5,10,234,0.049,3.01,0,27.0,-1,-0.0973
1,/page2,0,24,0.011,43.56,0,2.0,1,0.1049
5,/cabinet/blog.html,0,3,0.0,2.91,0,0.0,1,0.1203
5,/cabinet/contact.html,0,2,0.0,48.88,0,1.0,1,0.0792
1,/page3,2,33,0.031,50.42,0,0.0,1,0.131
5,/cabinet/blog.html,0,3,0.0,4.61,1,62.0,1,0.0099
5,/cabinet,2,21,0.058,10.73,0,2.0,1,0.158
4,/,2,3,0.763,1.19,0,0.0,1,0.0766
1,/page3,2,34,0.031,50.4,0,2.0,1,0.1211
5,/cabinet/contact.html,0,2,0.0,50.75,0,0.0,1,0.0953
4,/,3,5,0.667,1.04,1,58.0,-1,-0.0204
5,/cabinet/faq.html,1,2,0.527,2.14,0,0.0,1,0.1534
5,/cabinet,1,2,0.534,1.12,0,0.0,1,0.1483
5,/cabinet/faq.html,1,2,0.432,2.48,0,0.0,1,0.1571
1,/,14,30,0.261,1.73,1,93.0,1,0.0347
1,/page3,5,58,0.064,18.98,0,0.0,1,0.1436
5,/cabinet/about.html,1,2,0.328,7.47,0,8.0,1,0.0925
5,/cabinet/blog.html,0,2,0.0,4.57,0,6.0,1,0.0793
1,/,4,63,0.043,17.95,0,3.0,1,0.1288
1,/page2,0,18,0.012,31.12,0,0.0,1,0.125
5,/cabinet/contact.html,0,5,0.0,46.22,0,0.0,1,0.1057
5,/cabinet/blog.html,0,2,0.0,4.75,1,72.0,-1,-0.0128
1,/page2,5,12,0.241,15.17,0,4.0,1,0.1069
6,/travel_agency,7,51,0.097,20.71,0,0.0,1,0.1214
5,/cabinet,1,2,0.566,1.28,0,0.0,1,0.1469
1,/page4,1,69,0.057,11.05,0,1.0,1,0.1102
5,/voyages,2,21,0.05,26.05,0,0.0,1,0.1572
5,/cabinet/appointments.html,1,41,0.018,43.54,0,4.0,1,0.1126
3,/,18,18,0.886,1.04,1,94.0,-1,-0.0804
5,/cabinet,5,23,0.139,11.67,0,0.0,1,0.1384
5,/cabinet/contact.html,0,3,0.0,32.59,0,0.0,1,0.1382
1,/page3,7,33,0.129,31.89,0,0.0,1,0.1018
1,/page4,8,30,0.144,22.52,0,2.0,1,0.0968
1,/page3,3,27,0.057,70.39,0,1.0,1,0.0512
1,/page3,1,31,0.017,59.81,0,1.0,1,0.0926
1,/page4,10,29,0.18,31.71,0,2.0,1,0.0321
5,/cabinet/blog.html,0,2,0.0,3.5,0,0.0,1,0.1146
1,/,10,43,0.16,1.0,1,100.0,1,0.0575
5,/cabinet/appointments.html,1,30,0.02,37.56,0,5.0,1,0.1237
1,/page5,3,29,0.085,17.56,0,0.0,1,0.1709
5,/cabinet,4,17,0.166,15.13,0,4.0,1,0.1287
1,/,7,31,0.163,1.18,1,86.0,1,0.0463
1,/,4,14,0.171,17.95,0,3.0,1,0.1233
6,/travel_agency,6,109,0.066,14.94,0,0.0,1,0.0569
5,/voyages,7,42,0.11,7.97,1,99.0,1,0.06
5,/cabinet,1,2,0.5,1.0,0,0.0,1,0.1523
1,/page3,6,65,0.061,10.33,0,17.0,1,0.0718
5,/voyages,4,17,0.159,12.01,0,2.0,1,0.1295
5,/cabinet/contact.html,0,5,0.0,44.09,0,0.0,1,0.1087
5,/voyages,3,27,0.059,26.96,0,0.0,1,0.1592
5,/cabinet/blog.html,1,73,0.04,10.69,0,0.0,1,0.0943
1,/page4,1,27,0.063,16.51,0,3.0,1,0.1519
5,/cabinet/contact.html,0,5,0.0,39.13,0,0.0,1,0.1199
1,/page3,2,31,0.033,64.92,0,0.0,1,0.0992
5,/cabinet/about.html,1,2,0.445,3.96,0,0.0,1,0.1431
1,/,5,12,0.219,13.64,0,8.0,1,0.101
1,/page5,19,212,0.086,2.26,1,98.0,-1,-0.0726
5,/cabinet/blog.html,0,3,0.0,3.58,0,0.0,1,0.1263
1,/,10,29,0.198,1.94,1,92.0,1,0.0379
5,/cabinet/faq.html,1,3,0.465,3.31,0,1.0,1,0.1451
5,/cabinet/about.html,1,2,0.481,2.93,0,0.0,1,0.1615
1,/,14,31,0.292,1.0,1,100.0,1,0.0568
5,/cabinet,2,74,0.026,7.97,1,99.0,1,0.026
5,/cabinet/about.html,1,2,0.442,3.12,0,0.0,1,0.1588
6,/travel_agency,5,98,0.084,13.49,0,0.0,1,0.0871
5,/cabinet/faq.html,1,3,0.36,1.97,1,66.0,1,0.0341
5,/cabinet/faq.html,1,2,0.476,3.5,0,0.0,1,0.1527
5,/cabinet,1,2,0.499,1.0,0,0.0,1,0.1523
5,/cabinet/appointments.html,1,35,0.02,42.62,0,0.0,1,0.14
1,/page5,7,52,0.084,32.12,0,0.0,1,0.0879
1,/page4,11,31,0.183,33.08,0,3.0,1,0.0166
5,/cabinet,3,75,0.049,11.94,0,1.0,1,0.1054
5,/cabinet/appointments.html,1,31,0.021,58.99,0,0.0,1,0.1086
5,/cabinet/appointments.html,1,25,0.025,40.2,0,1.0,1,0.1425
1,/page3,2,40,0.026,60.48,0,0.0,1,0.0958
1,/page3,3,24,0.064,49.22,1,70.0,-1,-0.0252
6,/travel_agency,4,52,0.058,21.22,0,0.0,1,0.145
6,/travel_agency,5,69,0.071,15.69,0,0.0,1,0.1448
5,/cabinet/appointments.html,1,34,0.02,56.41,0,0.0,1,0.1137
5,/cabinet/appointments.html,2,67,0.026,17.5,0,7.0,1,0.0978
3,/,5,63,0.078,10.23,0,17.0,1,0.0885
6,/travel_agency,5,73,0.077,18.16,0,1.0,1,0.1258
5,/cabinet,6,29,0.127,17.09,0,0.0,1,0.1434
1,/page5,12,214,0.073,2.44,1,100.0,-1,-0.0108
5,/cabinet,1,2,0.472,1.0,0,0.0,1,0.1524
