website_id,page,clicks,impressions,ctr,position,visibility_label,visibility_score
1,/page2,0,16,0.011,43.44,0,0.0
5,/cabinet/appointments.html,3,52,0.069,16.24,0,0.0
5,/cabinet,1,3,0.417,1.08,1,87.0
1,/page3,2,31,0.033,57.1,0,0.0
6,/travel_agency,7,81,0.094,14.06,0,0.0
3,/,14,31,0.519,1.11,1,99.0
1,/page3,1,29,0.018,65.99,0,3.0
5,/cabinet/faq.html,1,3,0.422,1.86,0,8.0
1,/page3,2,23,0.045,49.18,0,4.0
3,/,21,31,0.65,1.31,0,29.0
1,/,4,60,0.045,15.27,0,0.0
1,/,16,45,0.235,1.0,1,100.0
1,/page2,1,72,0.048,15.72,0,0.0
5,/cabinet/about.html,1,3,0.459,2.85,0,11.0
5,/voyages,3,19,0.082,32.79,0,0.0
5,/cabinet/blog.html,0,3,0.0,3.69,0,0.0
5,/cabinet/contact.html,0,3,0.0,29.11,0,0.0
1,/page2,0,19,0.008,42.27,0,2.0
4,/,2,68,0.062,13.16,0,4.0
5,/cabinet/faq.html,1,2,0.505,2.89,0,0.0
5,/cabinet/contact.html,0,3,0.0,40.45,0,0.0
1,/,8,52,0.149,1.0,1,87.0
1,/page3,7,38,0.112,28.57,0,1.0
1,/page4,10,23,0.231,25.03,0,0.0
1,/page3,2,27,0.002,54.65,0,2.0
1,/,14,32,0.28,1.0,1,100.0
5,/cabinet/contact.html,0,2,0.0,34.32,0,0.0
5,/cabinet/about.html,1,2,0.491,2.32,0,0.0
1,/page2,0,24,0.009,48.92,1,63.0
6,/travel_agency,1,49,0.017,29.25,0,0.0
1,/page5,9,204,0.053,1.95,1,99.0
3,/,18,28,0.689,1.06,1,100.0
5,/cabinet/faq.html,1,3,0.389,3.13,0,1.0
5,/cabinet/faq.html,1,3,0.355,2.95,0,1.0
5,/cabinet/appointments.html,4,46,0.074,14.86,0,0.0
5,/cabinet/blog.html,0,3,0.0,2.76,0,0.0
5,/cabinet/about.html,1,2,0.423,5.19,0,2.0
5,/cabinet/about.html,1,3,0.286,5.18,0,1.0
6,/travel_agency,4,62,0.069,17.35,0,0.0
1,/page5,15,175,0.089,2.99,1,100.0
1,/page2,0,24,0.012,42.22,0,7.0
3,/,7,49,0.109,19.96,0,0.0
5,/voyages,2,15,0.07,25.79,0,0.0
5,/cabinet/contact.html,0,3,0.0,37.63,0,0.0
5,/cabinet/contact.html,1,50,0.037,10.84,0,0.0
5,/cabinet/faq.html,1,2,0.539,2.82,0,0.0
5,/cabinet,1,3,0.409,1.3,1,62.0
5,/cabinet/appointments.html,1,26,0.022,70.04,0,0.0
5,/cabinet/contact.html,0,5,0.0,47.73,0,0.0
5,/cabinet,1,3,0.37,1.32,0,0.0
3,/,15,36,0.505,1.39,1,100.0
5,/cabinet/contact.html,0,4,0.0,31.55,0,0.0
3,/,12,28,0.528,1.22,1,96.0
1,/page5,4,52,0.071,18.8,0,0.0
5,/cabinet,7,17,0.222,10.05,0,21.0
5,/cabinet/about.html,1,50,0.058,13.22,0,0.0
3,/,19,19,0.756,1.2,1,98.0
5,/cabinet/appointments.html,1,27,0.024,40.41,0,1.0
4,/,3,56,0.058,13.95,0,0.0
4,/,3,4,0.663,1.1,0,0.0
5,/voyages,5,16,0.204,14.48,0,3.0
5,/cabinet/about.html,3,31,0.069,19.07,0,0.0
1,/,12,34,0.118,1.0,1,99.0
6,/travel_agency,3,57,0.076,9.86,1,99.0
1,/page5,16,153,0.081,2.47,1,100.0
1,/page4,9,25,0.189,20.22,0,0.0
1,/page2,4,70,0.043,7.63,1,98.0
4,/,2,3,0.685,1.0,0,0.0
5,/cabinet/about.html,1,2,0.552,2.31,0,0.0
5,/cabinet/contact.html,0,2,0.0,66.32,0,0.0
5,/cabinet/appointments.html,1,22,0.036,12.88,0,10.0
5,/cabinet/blog.html,0,3,0.0,4.05,0,0.0
1,/page3,2,19,0.054,61.58,0,0.0
4,/,3,4,0.658,1.0,0,0.0
1,/page5,7,24,0.181,7.16,1,99.0
5,/voyages,2,21,0.05,29.21,0,0.0
5,/voyages,3,78,0.057,13.96,0,2.0
5,/voyages,4,26,0.081,31.96,0,0.0
5,/cabinet/blog.html,0,3,0.0,4.0,0,0.0
6,/travel_agency,4,102,0.071,12.13,0,0.0
1,/,11,25,0.293,1.0,1,94.0
5,/cabinet/blog.html,7,42,0.114,8.49,1,99.0
5,/cabinet/about.html,1,1,0.726,2.9,0,0.0
6,/travel_agency,7,70,0.096,18.39,0,0.0
5,/cabinet/appointments.html,1,45,0.016,41.45,0,1.0
4,/,2,2,0.897,1.1,0,0.0
1,/page5,13,229,0.064,1.96,1,100.0
1,/page5,9,274,0.043,3.72,1,89.0
5,/cabinet/contact.html,0,5,0.0,47.83,0,0.0
3,/,20,38,0.609,1.26,1,97.0
1,/page3,2,24,0.043,73.01,0,6.0
5,/voyages,2,21,0.051,24.21,0,0.0
5,/cabinet/contact.html,2,58,0.04,7.0,0,44.0
5,/cabinet,2,17,0.085,14.82,0,0.0
5,/cabinet/contact.html,4,27,0.093,18.13,0,0.0
5,/cabinet/faq.html,1,2,0.444,6.66,0,0.0
4,/,2,3,0.619,1.53,0,0.0
4,/,1,4,0.465,1.24,0,0.0
1,/page5,10,167,0.06,3.56,1,100.0
5,/cabinet/appointments.html,1,33,0.02,35.46,0,0.0
5,/cabinet,1,2,0.46,1.0,0,3.0
1,/page3,1,30,0.018,74.92,0,11.0
1,/page2,2,62,0.064,16.57,0,5.0
6,/travel_agency,7,79,0.066,18.7,0,0.0
5,/voyages,3,60,0.058,14.42,0,2.0
5,/voyages,3,20,0.079,17.46,0,10.0
4,/,3,54,0.052,10.73,0,0.0
4,/,2,4,0.603,1.04,0,1.0
5,/voyages,4,28,0.075,19.71,0,0.0
1,/,15,40,0.25,1.38,1,100.0
5,/cabinet,1,3,0.425,1.12,1,65.0
5,/cabinet/appointments.html,1,22,0.026,69.89,0,1.0
5,/cabinet/contact.html,0,5,0.0,41.48,0,0.0
5,/voyages,4,29,0.072,16.68,1,72.0
5,/cabinet/appointments.html,1,29,0.009,44.47,0,12.0
5,/cabinet/contact.html,0,3,0.0,50.79,0,0.0
1,/,8,38,0.154,1.0,1,96.0
1,/page5,6,45,0.116,16.45,0,1.0
5,/cabinet,1,3,0.354,1.28,0,5.0
1,/page5,10,234,0.049,3.01,0,27.0
1,/page2,0,24,0.011,43.56,0,2.0
5,/cabinet/blog.html,0,3,0.0,2.91,0,0.0
5,/cabinet/contact.html,0,2,0.0,48.88,0,1.0
1,/page3,2,33,0.031,50.42,0,0.0
5,/cabinet/blog.html,0,3,0.0,4.61,1,62.0
5,/cabinet,2,21,0.058,10.73,0,2.0
4,/,2,3,0.763,1.19,0,0.0
1,/page3,2,34,0.031,50.4,0,2.0
5,/cabinet/contact.html,0,2,0.0,50.75,0,0.0
4,/,3,5,0.667,1.04,1,58.0
5,/cabinet/faq.html,1,2,0.527,2.14,0,0.0
5,/cabinet,1,2,0.534,1.12,0,0.0
5,/cabinet/faq.html,1,2,0.432,2.48,0,0.0
1,/,14,30,0.261,1.73,1,93.0
1,/page3,5,58,0.064,18.98,0,0.0
5,/cabinet/about.html,1,2,0.328,7.47,0,8.0
5,/cabinet/blog.html,0,2,0.0,4.57,0,6.0
1,/,4,63,0.043,17.95,0,3.0
1,/page2,0,18,0.012,31.12,0,0.0
5,/cabinet/contact.html,0,5,0.0,46.22,0,0.0
5,/cabinet/blog.html,0,2,0.0,4.75,1,72.0
1,/page2,5,12,0.241,15.17,0,4.0
6,/travel_agency,7,51,0.097,20.71,0,0.0
5,/cabinet,1,2,0.566,1.28,0,0.0
1,/page4,1,69,0.057,11.05,0,1.0
5,/voyages,2,21,0.05,26.05,0,0.0
5,/cabinet/appointments.html,1,41,0.018,43.54,0,4.0
3,/,18,18,0.886,1.04,1,94.0
5,/cabinet,5,23,0.139,11.67,0,0.0
5,/cabinet/contact.html,0,3,0.0,32.59,0,0.0
1,/page3,7,33,0.129,31.89,0,0.0
1,/page4,8,30,0.144,22.52,0,2.0
1,/page3,3,27,0.057,70.39,0,1.0
1,/page3,1,31,0.017,59.81,0,1.0
1,/page4,10,29,0.18,31.71,0,2.0
5,/cabinet/blog.html,0,2,0.0,3.5,0,0.0
1,/,10,43,0.16,1.0,1,100.0
5,/cabinet/appointments.html,1,30,0.02,37.56,0,5.0
1,/page5,3,29,0.085,17.56,0,0.0
5,/cabinet,4,17,0.166,15.13,0,4.0
1,/,7,31,0.163,1.18,1,86.0
1,/,4,14,0.171,17.95,0,3.0
6,/travel_agency,6,109,0.066,14.94,0,0.0
5,/voyages,7,42,0.11,7.97,1,99.0
5,/cabinet,1,2,0.5,1.0,0,0.0
1,/page3,6,65,0.061,10.33,0,17.0
5,/voyages,4,17,0.159,12.01,0,2.0
5,/cabinet/contact.html,0,5,0.0,44.09,0,0.0
5,/voyages,3,27,0.059,26.96,0,0.0
5,/cabinet/blog.html,1,73,0.04,10.69,0,0.0
1,/page4,1,27,0.063,16.51,0,3.0
5,/cabinet/contact.html,0,5,0.0,39.13,0,0.0
1,/page3,2,31,0.033,64.92,0,0.0
5,/cabinet/about.html,1,2,0.445,3.96,0,0.0
1,/,5,12,0.219,13.64,0,8.0
1,/page5,19,212,0.086,2.26,1,98.0
5,/cabinet/blog.html,0,3,0.0,3.58,0,0.0
1,/,10,29,0.198,1.94,1,92.0
5,/cabinet/faq.html,1,3,0.465,3.31,0,1.0
5,/cabinet/about.html,1,2,0.481,2.93,0,0.0
1,/,14,31,0.292,1.0,1,100.0
5,/cabinet,2,74,0.026,7.97,1,99.0
5,/cabinet/about.html,1,2,0.442,3.12,0,0.0
6,/travel_agency,5,98,0.084,13.49,0,0.0
5,/cabinet/faq.html,1,3,0.36,1.97,1,66.0
5,/cabinet/faq.html,1,2,0.476,3.5,0,0.0
5,/cabinet,1,2,0.499,1.0,0,0.0
5,/cabinet/appointments.html,1,35,0.02,42.62,0,0.0
1,/page5,7,52,0.084,32.12,0,0.0
1,/page4,11,31,0.183,33.08,0,3.0
5,/cabinet,3,75,0.049,11.94,0,1.0
5,/cabinet/appointments.html,1,31,0.021,58.99,0,0.0
5,/cabinet/appointments.html,1,25,0.025,40.2,0,1.0
1,/page3,2,40,0.026,60.48,0,0.0
1,/page3,3,24,0.064,49.22,1,70.0
6,/travel_agency,4,52,0.058,21.22,0,0.0
6,/travel_agency,5,69,0.071,15.69,0,0.0
5,/cabinet/appointments.html,1,34,0.02,56.41,0,0.0
5,/cabinet/appointments.html,2,67,0.026,17.5,0,7.0
3,/,5,63,0.078,10.23,0,17.0
6,/travel_agency,5,73,0.077,18.16,0,1.0
5,/cabinet,6,29,0.127,17.09,0,0.0
1,/page5,12,214,0.073,2.44,1,100.0
5,/cabinet,1,2,0.472,1.0,0,0.0
5,/cabinet/contact.html,1,22,0.054,16.9,0,1.0
5,/cabinet,7,24,0.181,14.93,0,0.0
1,/page4,13,33,0.211,18.06,0,6.0
5,/cabinet/faq.html,1,2,0.43,2.86,0,0.0
1,/page2,5,33,0.097,12.62,0,0.0
5,/voyages,3,20,0.079,25.06,0,1.0
1,/page4,8,33,0.13,25.91,0,1.0
5,/cabinet,3,68,0.038,11.34,0,0.0
1,/page3,1,24,0.022,43.88,0,3.0
1,/page3,1,30,0.018,41.84,1,62.0
5,/cabinet/about.html,2,71,0.043,7.25,1,98.0
1,/page4,13,18,0.369,37.8,0,0.0
1,/page5,9,179,0.07,2.67,1,100.0
3,/,16,20,0.652,1.08,1,100.0
1,/page3,2,40,0.026,65.96,0,0.0
1,/page4,7,17,0.216,19.43,0,0.0
1,/page5,17,266,0.07,3.21,0,40.0
3,/,10,40,0.302,2.12,1,98.0
4,/,2,5,0.566,1.09,0,9.0
1,/page2,3,48,0.044,12.08,0,0.0
6,/travel_agency,5,105,0.076,12.78,0,0.0
4,/,2,4,0.733,1.29,0,0.0
1,/,7,47,0.144,1.0,0,28.0
5,/cabinet,1,3,0.419,1.33,0,16.0
1,/page2,0,18,0.005,76.27,0,0.0
6,/travel_agency,5,112,0.078,15.06,0,1.0
5,/cabinet/about.html,1,3,0.381,3.46,0,1.0
1,/page3,3,23,0.066,60.42,0,8.0
1,/page4,7,23,0.165,25.07,0,0.0
5,/cabinet/appointments.html,2,57,0.041,15.61,0,0.0
1,/page5,1,16,0.062,8.45,1,99.0
1,/page2,0,19,0.022,43.95,0,0.0
5,/voyages,2,27,0.041,32.05,0,0.0
1,/,3,34,0.054,9.09,1,92.0
4,/,1,3,0.551,1.25,0,0.0
5,/cabinet/blog.html,0,2,0.0,2.85,0,0.0
5,/cabinet/contact.html,0,4,0.0,43.14,0,0.0
1,/page5,9,257,0.065,3.38,1,97.0
5,/voyages,2,67,0.039,19.2,0,3.0
5,/cabinet/faq.html,5,70,0.05,26.49,0,0.0
1,/,17,25,0.396,1.38,1,99.0
4,/,1,3,0.618,1.0,0,0.0
1,/page4,4,24,0.118,19.2,0,5.0
1,/page4,8,20,0.208,25.19,0,0.0
1,/page4,8,32,0.133,20.14,0,1.0
5,/cabinet/blog.html,0,3,0.0,2.65,0,2.0
5,/cabinet/appointments.html,1,43,0.015,32.8,0,0.0
5,/cabinet/contact.html,7,50,0.118,15.69,0,1.0
1,/page2,6,15,0.226,14.04,0,2.0
5,/cabinet,2,79,0.061,8.42,1,99.0
1,/page3,2,20,0.051,64.07,0,0.0
1,/page3,3,34,0.045,86.01,0,10.0
5,/cabinet/blog.html,6,12,0.296,14.0,0,5.0
5,/cabinet/appointments.html,1,43,0.017,54.62,0,0.0
5,/cabinet/faq.html,1,2,0.357,3.43,0,0.0
5,/voyages,2,30,0.037,21.52,0,2.0
1,/,16,44,0.243,1.0,1,100.0
4,/,2,2,0.965,1.18,0,0.0
1,/page3,2,37,0.028,58.48,0,1.0
1,/page2,6,13,0.259,16.4,0,0.0
5,/cabinet/contact.html,0,4,0.0,32.94,0,0.0
5,/cabinet/about.html,1,2,0.468,2.75,0,0.0
5,/cabinet/faq.html,1,3,0.435,3.38,0,0.0
1,/page4,6,22,0.144,24.48,0,0.0
4,/,3,15,0.142,15.19,0,3.0
1,/page3,3,29,0.053,55.62,0,1.0
5,/voyages,4,21,0.1,27.26,0,0.0
1,/page5,18,229,0.06,3.68,1,96.0
1,/page2,7,12,0.319,17.07,0,1.0
1,/page3,2,21,0.048,43.89,0,0.0
5,/voyages,1,62,0.026,18.92,0,1.0
4,/,2,4,0.571,1.06,0,0.0
5,/cabinet/appointments.html,1,25,0.025,35.19,0,0.0
5,/cabinet/faq.html,1,2,0.561,2.04,0,0.0
1,/page3,3,25,0.061,39.41,0,0.0
5,/cabinet/contact.html,0,4,0.0,30.94,0,0.0
5,/cabinet,1,2,0.513,1.18,0,0.0
4,/,2,4,0.717,1.14,0,0.0
5,/cabinet/appointments.html,3,63,0.053,12.87,0,0.0
3,/,6,20,0.197,11.17,0,0.0
4,/,1,2,0.735,1.0,0,0.0
5,/cabinet/about.html,1,3,0.442,2.77,0,1.0
1,/page2,0,18,0.013,42.99,0,0.0
1,/page4,7,44,0.098,15.63,0,0.0
5,/cabinet/about.html,1,2,0.564,2.23,0,0.0
3,/,15,31,0.366,1.4,1,99.0
5,/cabinet/faq.html,1,2,0.391,3.68,0,0.0
5,/cabinet/contact.html,0,4,0.0,28.44,0,0.0
5,/cabinet/blog.html,0,3,0.0,3.09,0,0.0
5,/cabinet/contact.html,1,26,0.034,11.49,0,8.0
5,/cabinet/blog.html,0,3,0.0,2.59,0,0.0
1,/page2,0,27,0.014,53.74,0,1.0
4,/,2,16,0.102,18.03,0,0.0
5,/cabinet,1,2,0.479,1.0,0,0.0
5,/cabinet/about.html,1,2,0.487,3.86,0,0.0
1,/page3,4,64,0.077,15.57,0,0.0
5,/cabinet/contact.html,3,12,0.16,14.5,1,70.0
5,/cabinet/blog.html,2,62,0.041,11.25,0,1.0
1,/page2,0,15,0.01,55.49,0,2.0
5,/voyages,2,49,0.059,10.12,0,13.0
4,/,5,62,0.057,18.89,0,0.0
1,/page2,0,28,0.013,37.41,0,0.0
1,/page5,11,222,0.061,3.44,1,99.0
1,/page5,17,170,0.099,2.09,1,99.0
5,/cabinet/about.html,1,3,0.368,3.16,0,0.0
5,/voyages,3,25,0.063,22.81,0,2.0
1,/page5,17,230,0.061,4.89,1,97.0
5,/voyages,4,28,0.074,17.69,0,5.0
1,/page5,3,56,0.061,12.95,0,1.0
1,/page2,6,29,0.137,15.11,0,1.0
6,/travel_agency,5,58,0.091,13.28,0,0.0
1,/page4,2,41,0.054,19.08,0,0.0
5,/cabinet/blog.html,0,3,0.0,4.35,0,4.0
1,/page3,3,40,0.038,60.09,0,8.0
