website_id,url,title_length,meta_description_length,h1_count,h2_count,paragraph_count,word_count,images_count,images_without_alt,internal_links_count,external_links_count,status_code,response_time_ms,technical_score_target,is_synthetic
1,https://chipper-creponne-32db5f.netlify.app/,52,109,1,0,2,63,1,0,3,0,200,497,69,1
1,https://chipper-creponne-32db5f.netlify.app/,57,100,1,0,2,63,2,1,6,0,200,527,77,1
1,https://chipper-creponne-32db5f.netlify.app/,57,103,1,0,2,46,3,0,2,0,200,378,77,1
1,https://chipper-creponne-32db5f.netlify.app/,51,107,1,0,2,55,1,0,3,0,200,405,72,1
1,https://chipper-creponne-32db5f.netlify.app/,52,105,1,0,2,46,0,0,5,0,200,426,72,1
1,https://chipper-creponne-32db5f.netlify.app/,59,118,1,0,2,44,0,0,7,0,200,481,70,1
1,https://chipper-creponne-32db5f.netlify.app/,49,118,1,0,2,58,0,0,4,0,200,406,76,1
1,https://chipper-creponne-32db5f.netlify.app/,51,99,1,0,2,48,0,0,3,0,200,526,74,1
1,https://chipper-creponne-32db5f.netlify.app/,52,114,1,0,2,63,3,0,7,0,200,446,78,1
1,https://chipper-creponne-32db5f.netlify.app/,48,115,1,0,2,46,3,0,5,0,200,398,77,1
1,https://chipper-creponne-32db5f.netlify.app/,51,115,1,0,2,46,1,1,7,0,200,370,75,1
1,https://chipper-creponne-32db5f.netlify.app/,52,120,1,0,2,63,3,0,3,0,200,399,76,1
1,https://chipper-creponne-32db5f.netlify.app/,54,101,1,0,2,57,0,0,2,0,200,375,70,1
1,https://chipper-creponne-32db5f.netlify.app/,55,119,1,0,2,54,0,1,2,0,200,544,70,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,123,1,2,8,144,2,0,6,0,200,505,84,1
1,https://chipper-creponne-32db5f.netlify.app/page3,54,120,1,2,8,164,1,0,6,0,200,466,79,1
1,https://chipper-creponne-32db5f.netlify.app/page3,58,122,1,2,8,144,1,0,5,0,200,456,79,1
1,https://chipper-creponne-32db5f.netlify.app/page3,57,130,1,2,8,167,1,1,5,0,200,467,82,1
1,https://chipper-creponne-32db5f.netlify.app/page3,54,129,1,2,8,132,0,0,8,0,200,374,80,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,137,1,2,8,178,0,0,6,0,200,469,77,1
1,https://chipper-creponne-32db5f.netlify.app/page3,60,127,1,2,8,138,0,0,5,0,200,523,85,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,129,1,2,8,179,1,0,7,0,200,581,82,1
1,https://chipper-creponne-32db5f.netlify.app/page3,57,143,1,2,8,127,0,1,6,0,200,523,85,1
1,https://chipper-creponne-32db5f.netlify.app/page3,56,140,1,2,8,142,2,0,4,0,200,414,84,1
1,https://chipper-creponne-32db5f.netlify.app/page3,57,126,1,2,8,154,2,0,8,0,200,368,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,52,141,1,2,8,154,0,1,10,0,200,555,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,139,1,2,8,167,0,1,7,0,200,582,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,50,131,1,2,8,154,0,0,8,0,200,578,77,1
1,https://chipper-creponne-32db5f.netlify.app/page3,50,142,1,2,8,130,0,0,8,0,200,525,85,1
1,https://chipper-creponne-32db5f.netlify.app/page3,58,142,1,2,8,178,2,0,5,0,200,554,77,1
1,https://chipper-creponne-32db5f.netlify.app/page3,54,124,1,2,8,181,0,0,9,0,200,452,82,1
1,https://chipper-creponne-32db5f.netlify.app/page3,54,142,1,2,8,138,0,0,9,0,200,451,78,1
1,https://chipper-creponne-32db5f.netlify.app/page3,53,142,1,2,8,184,0,1,10,0,200,363,82,1
1,https://chipper-creponne-32db5f.netlify.app/page3,58,142,1,2,8,153,0,0,5,0,200,446,79,1
1,https://chipper-creponne-32db5f.netlify.app/page3,59,125,1,2,8,185,2,0,6,0,200,502,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,49,122,1,2,8,170,0,0,10,0,200,547,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,52,123,1,2,8,174,2,1,9,0,200,415,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,56,146,1,2,8,132,1,0,4,0,200,531,81,1
1,https://chipper-creponne-32db5f.netlify.app/page3,50,119,1,2,8,161,0,0,10,0,200,554,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,50,132,1,2,8,134,1,0,8,0,200,374,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,135,1,2,8,174,0,0,4,0,200,535,79,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,133,1,2,8,174,0,1,5,0,200,393,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,59,132,1,2,8,178,1,0,6,0,200,464,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,59,138,1,2,8,147,0,0,7,0,200,561,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,50,139,1,2,8,180,0,1,10,0,200,479,83,1
1,https://chipper-creponne-32db5f.netlify.app/page3,49,130,1,2,8,146,1,1,6,0,200,411,85,1
1,https://chipper-creponne-32db5f.netlify.app/page3,59,132,1,2,8,150,1,1,7,0,200,414,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,54,121,1,2,8,175,0,0,9,0,200,532,79,1
1,https://chipper-creponne-32db5f.netlify.app/page3,57,139,1,2,8,180,2,0,8,0,200,559,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,127,1,2,8,149,2,0,10,0,200,563,78,1
1,https://chipper-creponne-32db5f.netlify.app/page3,49,138,1,2,8,130,1,1,6,0,200,528,81,1
1,https://chipper-creponne-32db5f.netlify.app/page3,50,130,1,2,8,167,0,0,6,0,200,554,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,56,141,1,2,8,127,2,1,6,0,200,425,78,1
1,https://chipper-creponne-32db5f.netlify.app/page3,55,145,1,2,8,135,0,0,10,0,200,382,76,1
1,https://chipper-creponne-32db5f.netlify.app/page3,56,144,1,2,8,167,2,0,4,0,200,443,79,1
1,https://chipper-creponne-32db5f.netlify.app/page3,53,124,1,2,8,179,0,1,8,0,200,499,81,1
1,https://chipper-creponne-32db5f.netlify.app/page3,54,146,1,2,8,143,2,1,8,0,200,411,83,1
1,https://chipper-creponne-32db5f.netlify.app/page3,55,132,1,2,8,185,2,0,5,0,200,454,75,1
1,https://chipper-creponne-32db5f.netlify.app/page3,54,130,1,2,8,181,0,0,9,0,200,537,77,1
1,https://chipper-creponne-32db5f.netlify.app/page3,55,132,1,2,8,130,2,0,7,0,200,524,80,1
1,https://chipper-creponne-32db5f.netlify.app/page3,51,141,1,2,8,146,0,0,9,0,200,396,82,1
1,https://chipper-creponne-32db5f.netlify.app/page3,53,125,1,2,8,152,0,1,10,0,200,499,80,1
1,https://chipper-creponne-32db5f.netlify.app/page3,56,140,1,2,8,126,2,1,7,0,200,370,80,1
1,https://chipper-creponne-32db5f.netlify.app/page3,59,128,1,2,8,183,2,0,10,0,200,501,79,1
1,https://chipper-creponne-32db5f.netlify.app/page4,40,104,1,5,8,199,0,1,6,0,200,663,76,1
1,https://chipper-creponne-32db5f.netlify.app/page4,45,100,1,5,8,161,0,0,6,0,200,622,75,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,104,1,5,8,135,0,0,8,0,200,712,79,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,108,1,5,8,190,0,1,5,0,200,704,79,1
1,https://chipper-creponne-32db5f.netlify.app/page4,44,120,1,5,8,169,0,1,7,0,200,522,83,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,114,1,5,8,194,0,1,6,0,200,504,85,1
1,https://chipper-creponne-32db5f.netlify.app/page4,44,111,1,5,8,197,0,1,6,0,200,746,78,1
1,https://chipper-creponne-32db5f.netlify.app/page4,44,104,1,5,8,154,0,1,5,0,200,505,76,1
1,https://chipper-creponne-32db5f.netlify.app/page4,43,122,1,5,8,189,0,0,7,0,200,519,75,1
1,https://chipper-creponne-32db5f.netlify.app/page4,42,108,1,5,8,138,0,0,9,0,200,681,81,1
1,https://chipper-creponne-32db5f.netlify.app/page4,40,120,1,5,8,157,0,0,9,0,200,770,82,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,121,1,5,8,157,2,1,4,0,200,793,79,1
1,https://chipper-creponne-32db5f.netlify.app/page4,47,116,1,5,8,133,0,1,9,0,200,791,75,1
1,https://chipper-creponne-32db5f.netlify.app/page4,43,110,1,5,8,138,0,0,4,0,200,527,80,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,109,1,5,8,154,2,1,10,0,200,586,77,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,101,1,5,8,147,1,0,7,0,200,644,85,1
1,https://chipper-creponne-32db5f.netlify.app/page4,45,110,1,5,8,145,2,0,4,0,200,532,80,1
1,https://chipper-creponne-32db5f.netlify.app/page4,42,107,1,5,8,165,0,1,7,0,200,650,77,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,112,1,5,8,175,0,1,4,0,200,757,79,1
1,https://chipper-creponne-32db5f.netlify.app/page4,40,111,1,5,8,154,2,0,5,0,200,590,76,1
1,https://chipper-creponne-32db5f.netlify.app/page4,43,112,1,5,8,174,0,0,4,0,200,598,83,1
1,https://chipper-creponne-32db5f.netlify.app/page4,43,102,1,5,8,189,2,0,8,0,200,708,84,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,100,1,5,8,192,1,0,9,0,200,548,81,1
1,https://chipper-creponne-32db5f.netlify.app/page4,40,122,1,5,8,161,1,0,10,0,200,756,83,1
1,https://chipper-creponne-32db5f.netlify.app/page4,44,118,1,5,8,141,2,0,7,0,200,691,84,1
1,https://chipper-creponne-32db5f.netlify.app/page4,45,115,1,5,8,178,0,0,7,0,200,712,84,1
1,https://chipper-creponne-32db5f.netlify.app/page4,48,111,1,5,8,138,0,0,8,0,200,612,80,1
1,https://chipper-creponne-32db5f.netlify.app/page4,40,110,1,5,8,195,0,1,5,0,200,619,80,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,114,1,5,8,148,0,0,10,0,200,669,77,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,119,1,5,8,156,2,1,6,0,200,568,77,1
1,https://chipper-creponne-32db5f.netlify.app/page4,45,120,1,5,8,167,0,0,8,0,200,626,84,1
1,https://chipper-creponne-32db5f.netlify.app/page4,42,117,1,5,8,163,2,0,4,0,200,578,84,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,106,1,5,8,137,0,1,5,0,200,609,76,1
1,https://chipper-creponne-32db5f.netlify.app/page4,44,100,1,5,8,177,0,1,7,0,200,780,75,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,102,1,5,8,180,1,0,6,0,200,651,75,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,113,1,5,8,164,0,1,9,0,200,688,85,1
1,https://chipper-creponne-32db5f.netlify.app/page4,42,118,1,5,8,197,0,0,9,0,200,784,85,1
1,https://chipper-creponne-32db5f.netlify.app/page4,43,105,1,5,8,136,0,0,10,0,200,668,79,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,108,1,5,8,148,2,0,6,0,200,566,77,1
1,https://chipper-creponne-32db5f.netlify.app/page4,47,112,1,5,8,158,2,1,4,0,200,763,77,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,119,1,5,8,189,0,1,9,0,200,516,82,1
1,https://chipper-creponne-32db5f.netlify.app/page4,47,122,1,5,8,193,0,1,6,0,200,607,85,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,118,1,5,8,157,1,1,6,0,200,666,77,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,116,1,5,8,187,0,1,7,0,200,548,80,1
1,https://chipper-creponne-32db5f.netlify.app/page4,44,105,1,5,8,134,1,1,9,0,200,552,85,1
1,https://chipper-creponne-32db5f.netlify.app/page4,45,104,1,5,8,171,0,0,8,0,200,712,82,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,105,1,5,8,177,2,1,9,0,200,542,83,1
1,https://chipper-creponne-32db5f.netlify.app/page4,41,113,1,5,8,137,2,0,8,0,200,694,79,1
1,https://chipper-creponne-32db5f.netlify.app/page4,46,114,1,5,8,169,2,0,6,0,200,690,76,1
1,https://chipper-creponne-32db5f.netlify.app/page4,49,116,1,5,8,163,2,0,10,0,200,703,81,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,115,1,4,6,110,0,0,5,0,200,685,70,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,104,1,4,6,116,1,1,6,0,200,714,68,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,116,1,4,6,109,0,1,4,0,200,533,70,1
1,https://chipper-creponne-32db5f.netlify.app/page2,43,99,1,4,6,148,0,0,10,0,200,555,77,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,98,1,4,6,124,0,1,6,0,200,535,73,1
1,https://chipper-creponne-32db5f.netlify.app/page2,49,112,1,4,6,113,0,0,6,0,200,638,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,116,1,4,6,128,0,0,4,0,200,771,72,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,115,1,4,6,147,0,0,6,0,200,671,73,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,113,1,4,6,118,0,1,6,0,200,593,78,1
1,https://chipper-creponne-32db5f.netlify.app/page2,44,97,1,4,6,123,0,0,7,0,200,568,71,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,103,1,4,6,102,0,0,6,0,200,640,72,1
1,https://chipper-creponne-32db5f.netlify.app/page2,43,116,1,4,6,117,0,1,6,0,200,693,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,106,1,4,6,105,0,1,7,0,200,771,68,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,100,1,4,6,148,0,1,4,0,200,727,70,1
1,https://chipper-creponne-32db5f.netlify.app/page2,43,102,1,4,6,144,0,0,4,0,200,669,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,44,111,1,4,6,126,0,0,9,0,200,746,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,49,116,1,4,6,124,0,0,7,0,200,828,75,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,97,1,4,6,123,0,0,8,0,200,739,69,1
1,https://chipper-creponne-32db5f.netlify.app/page2,49,111,1,4,6,132,2,0,5,0,200,755,68,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,98,1,4,6,106,2,0,8,0,200,808,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,50,103,1,4,6,151,1,1,4,0,200,737,72,1
1,https://chipper-creponne-32db5f.netlify.app/page2,44,107,1,4,6,134,1,0,10,0,200,647,69,1
1,https://chipper-creponne-32db5f.netlify.app/page2,50,116,1,4,6,123,0,0,7,0,200,769,68,1
1,https://chipper-creponne-32db5f.netlify.app/page2,50,99,1,4,6,138,0,0,9,0,200,813,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,44,102,1,4,6,144,0,0,5,0,200,552,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,50,101,1,4,6,144,0,0,8,0,200,669,78,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,114,1,4,6,110,0,0,8,0,200,745,78,1
1,https://chipper-creponne-32db5f.netlify.app/page2,50,106,1,4,6,109,0,0,10,0,200,760,70,1
1,https://chipper-creponne-32db5f.netlify.app/page2,49,97,1,4,6,142,1,0,5,0,200,579,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,107,1,4,6,135,0,1,9,0,200,817,76,1
1,https://chipper-creponne-32db5f.netlify.app/page2,45,102,1,4,6,136,0,0,7,0,200,608,76,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,116,1,4,6,138,2,0,9,0,200,662,73,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,110,1,4,6,114,1,0,4,0,200,724,74,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,115,1,4,6,118,2,0,9,0,200,544,76,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,98,1,4,6,116,0,0,4,0,200,616,70,1
1,https://chipper-creponne-32db5f.netlify.app/page2,48,107,1,4,6,113,0,0,7,0,200,603,77,1
1,https://chipper-creponne-32db5f.netlify.app/page2,43,109,1,4,6,106,0,1,5,0,200,632,72,1
1,https://chipper-creponne-32db5f.netlify.app/page2,47,113,1,4,6,108,2,1,5,0,200,806,70,1
1,https://chipper-creponne-32db5f.netlify.app/page2,43,100,1,4,6,138,0,0,4,0,200,829,71,1
1,https://chipper-creponne-32db5f.netlify.app/page2,50,100,1,4,6,134,0,0,7,0,200,590,70,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,116,1,4,6,113,1,1,9,0,200,741,77,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,109,1,4,6,115,2,1,9,0,200,651,72,1
1,https://chipper-creponne-32db5f.netlify.app/page2,44,111,1,4,6,119,1,1,4,0,200,830,73,1
1,https://chipper-creponne-32db5f.netlify.app/page2,44,110,1,4,6,151,1,0,4,0,200,826,71,1
1,https://chipper-creponne-32db5f.netlify.app/page2,43,114,1,4,6,134,0,0,8,0,200,563,71,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,102,1,4,6,150,0,1,7,0,200,645,76,1
1,https://chipper-creponne-32db5f.netlify.app/page2,44,97,1,4,6,102,1,0,10,0,200,590,77,1
1,https://chipper-creponne-32db5f.netlify.app/page2,48,99,1,4,6,139,2,0,9,0,200,811,78,1
1,https://chipper-creponne-32db5f.netlify.app/page2,46,110,1,4,6,137,0,1,6,0,200,573,68,1
1,https://chipper-creponne-32db5f.netlify.app/page2,42,98,1,4,6,117,1,1,7,0,200,549,71,1
1,https://chipper-creponne-32db5f.netlify.app,53,117,1,0,2,48,3,0,5,0,200,826,70,1
1,https://chipper-creponne-32db5f.netlify.app,58,108,1,0,2,56,2,0,7,0,200,600,74,1
1,https://chipper-creponne-32db5f.netlify.app,56,112,1,0,2,60,1,0,1,0,200,783,68,1
1,https://chipper-creponne-32db5f.netlify.app,53,110,1,0,2,53,3,1,6,0,200,756,68,1
1,https://chipper-creponne-32db5f.netlify.app,54,101,1,0,2,52,2,0,3,0,200,694,76,1
1,https://chipper-creponne-32db5f.netlify.app,54,104,1,0,2,61,3,1,7,0,200,837,75,1
1,https://chipper-creponne-32db5f.netlify.app,50,113,1,0,2,62,1,0,2,0,200,854,71,1
1,https://chipper-creponne-32db5f.netlify.app,51,115,1,0,2,64,1,1,7,0,200,549,75,1
1,https://chipper-creponne-32db5f.netlify.app,58,119,1,0,2,46,1,1,6,0,200,818,73,1
1,https://chipper-creponne-32db5f.netlify.app,52,114,1,0,2,63,2,0,5,0,200,535,73,1
1,https://chipper-creponne-32db5f.netlify.app,50,110,1,0,2,59,0,1,7,0,200,597,74,1
1,https://chipper-creponne-32db5f.netlify.app,51,111,1,0,2,64,3,0,6,0,200,558,76,1
1,https://chipper-creponne-32db5f.netlify.app,54,104,1,0,2,55,0,0,1,0,200,677,68,1
1,https://chipper-creponne-32db5f.netlify.app,53,103,1,0,2,54,2,1,6,0,200,596,74,1
1,https://chipper-creponne-32db5f.netlify.app,57,99,1,0,2,56,0,1,4,0,200,598,78,1
1,https://chipper-creponne-32db5f.netlify.app,51,114,1,0,2,55,3,1,3,0,200,838,74,1
1,https://chipper-creponne-32db5f.netlify.app,55,118,1,0,2,56,1,0,5,0,200,531,77,1
1,https://chipper-creponne-32db5f.netlify.app,55,109,1,0,2,44,0,0,4,0,200,577,70,1
1,https://chipper-creponne-32db5f.netlify.app,50,104,1,0,2,48,1,1,4,0,200,833,74,1
1,https://chipper-creponne-32db5f.netlify.app,52,108,1,0,2,54,2,0,6,0,200,553,71,1
1,https://chipper-creponne-32db5f.netlify.app,59,115,1,0,2,56,0,1,1,0,200,604,78,1
1,https://chipper-creponne-32db5f.netlify.app,49,101,1,0,2,58,2,0,6,0,200,589,71,1
1,https://chipper-creponne-32db5f.netlify.app,57,104,1,0,2,53,3,0,6,0,200,612,69,1
1,https://chipper-creponne-32db5f.netlify.app,52,119,1,0,2,43,0,0,3,0,200,748,73,1
1,https://chipper-creponne-32db5f.netlify.app,50,111,1,0,2,62,0,1,6,0,200,609,74,1
1,https://chipper-creponne-32db5f.netlify.app,54,103,1,0,2,55,2,1,3,0,200,723,74,1
1,https://chipper-creponne-32db5f.netlify.app,56,106,1,0,2,51,2,0,6,0,200,634,69,1
1,https://chipper-creponne-32db5f.netlify.app,58,110,1,0,2,49,2,1,6,0,200,704,70,1
1,https://chipper-creponne-32db5f.netlify.app,51,112,1,0,2,44,3,0,2,0,200,828,70,1
1,https://chipper-creponne-32db5f.netlify.app,53,110,1,0,2,63,2,0,1,0,200,753,70,1
1,https://chipper-creponne-32db5f.netlify.app,53,109,1,0,2,55,0,1,6,0,200,542,75,1
1,https://chipper-creponne-32db5f.netlify.app,58,120,1,0,2,57,0,0,6,0,200,770,68,1
1,https://chipper-creponne-32db5f.netlify.app,48,112,1,0,2,43,3,1,5,0,200,781,68,1
1,https://chipper-creponne-32db5f.netlify.app,49,108,1,0,2,48,3,0,1,0,200,794,71,1
